song_id,filename,filepath,genre_id,genre,length,mean_stft,var_stft,tempo,rms_mean,rms_var,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,rolloff_mean,rolloff_var,crossing_mean,crossing_var,harmonic_mean,harmonic_var,contrast_mean,contrast_var,key,key_name,scale,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
76,띵 (Prod. by 기리보이)_Jvcki Wai & 영비 & Osshun Gum & 한요한.mp3,/workspace/data/랩:힙합/띵 (Prod. by 기리보이)_Jvcki Wai & 영비 & Osshun Gum & 한요한.mp3,1,Rap and Hip-Hop,226.63945578231292,0.3523972,0.093514755,151.99908088235293,0.1810776920723099,0.005333766987643206,2601.1916948638495,871489.2881825858,2334.6112440362813,219105.8208681875,5268.7552149698095,2772867.204384415,0.12895602357276406,0.0048269892255103945,-8.745032e-05,0.05422019,21.498414181178088,60.261414062410324,7,G,minor,-42.479397,6292.6396,77.92162,1490.3143,-19.136776,1268.6984,18.888332,603.88385,-19.19973,488.71622,10.646986,379.7867,-21.196604,282.74182,7.7213826,352.5867,-20.791145,176.6464,10.399282,183.02438,-12.249597,145.93567,5.5159783,127.91631,-7.5146213,108.18607,2.3311672,114.378006,-5.3499637,112.32298,7.3295784,128.25249,-7.063911,95.41326,5.213643,97.925186,-3.1679428,92.13544,4.717367,107.87062
77,빈차 (Feat. 오혁)_에픽하이 (EPIK HIGH).mp3,/workspace/data/랩:힙합/빈차 (Feat. 오혁)_에픽하이 (EPIK HIGH).mp3,1,Rap and Hip-Hop,291.0051700680272,0.36764255,0.08969675,95.703125,0.12482934316146799,0.006306614820220164,1956.616327718748,884621.0494572778,2112.9100239918353,298943.4685161521,4119.579406071097,3718063.979283906,0.08996857670749223,0.005351498054373921,-4.633384e-05,0.030308528,21.427427065473523,62.1099854096466,2,D,minor,-118.99899,18102.92,103.673645,1569.9606,1.977105,491.36716,34.355087,433.82227,-2.605649,247.06673,14.453895,226.123,-13.393135,174.79906,10.129261,175.58026,-10.77657,109.20907,7.272429,145.87535,-8.112241,101.27719,4.153721,99.8092,-6.71404,68.723816,6.2617316,62.1892,-5.459678,79.004555,6.9167705,84.243126,-6.0074577,79.362015,0.68276095,55.621155,-1.8170948,58.244446,0.8870898,64.89114
78,남아있어 (Feat. Crush)_로꼬.mp3,/workspace/data/랩:힙합/남아있어 (Feat. Crush)_로꼬.mp3,1,Rap and Hip-Hop,276.63782312925173,0.40047002,0.09283579,135.99917763157896,0.13902978587748333,0.007117212814866266,1889.6190012164361,610514.9786738938,2078.5780675766637,372489.75335630233,3962.5395329942717,3137563.751687765,0.08196161848717895,0.0024824825395714564,-2.0283212e-06,0.0404566,23.158640199329824,51.66138762370176,4,E,minor,-104.947876,9295.8545,108.30458,1017.3977,-13.598252,670.1926,31.483244,283.1756,18.476923,349.81778,3.2036238,276.20422,-4.514725,177.58255,14.276485,146.76208,-8.309931,130.07214,10.776456,158.94426,-11.223581,99.24661,2.1747508,129.35,-5.9427137,100.13207,2.0649047,126.40678,-4.8497643,101.30215,2.1628165,88.493484,-11.477391,61.48695,2.6042638,108.502716,-4.501075,77.964,3.1731498,87.29734
79,이 노래가 클럽에서 나온다면_우디 (Woody).mp3,/workspace/data/랩:힙합/이 노래가 클럽에서 나온다면_우디 (Woody).mp3,1,Rap and Hip-Hop,219.06394557823128,0.2945009,0.09096285,172.265625,0.17219272097899566,0.005638559924376137,1477.0596689596096,533339.4262640502,1980.2683719950764,347114.4414491674,3096.7861390227545,3522475.607504873,0.054374761940249074,0.0018476933612671187,3.943019e-05,0.057422753,22.690364354545082,53.74726464428445,6,F#,minor,-120.171265,10405.896,125.59878,1110.8511,17.434044,467.41324,18.392227,400.52417,-1.0291529,232.5972,14.848639,187.88818,-23.56945,234.70064,6.260423,166.54945,-15.465069,114.2396,1.013677,213.86577,-12.0315695,89.406975,1.73383,135.15456,-16.885794,101.02911,-7.684317,165.49663,-10.853482,72.03853,-0.8158934,98.266464,-14.502502,93.23231,0.44524723,82.34039,-6.3863144,58.61921,-3.8913188,77.39891
80,널 너무 사랑해서 (Feat. 정은지 of 에이핑크)_MC몽.mp3,/workspace/data/랩:힙합/널 너무 사랑해서 (Feat. 정은지 of 에이핑크)_MC몽.mp3,1,Rap and Hip-Hop,243.22721088435375,0.39210996,0.08317886,123.046875,0.19310739322219925,0.0057770135239032195,2242.017475187017,393130.4747998376,2344.4420027737347,180967.802552894,4895.354287086068,2258427.682415554,0.0929512697643198,0.001561751936390838,-3.1023184e-05,0.061032865,20.50567457321821,52.32025276037099,10,A#,minor,-11.4881935,6869.8135,100.554794,809.73773,-13.078765,446.92087,28.50053,173.28386,-2.4692285,117.870514,17.813564,124.13223,-8.0842705,98.50154,20.727272,69.61514,-9.25303,65.79454,13.260921,82.925354,-12.9628725,84.53521,6.8080726,80.82546,-4.711999,53.329624,8.616809,79.05159,-5.5227036,48.522118,5.6199703,56.437508,-5.9135036,49.39738,6.307797,44.41887,-6.8425245,44.546555,2.5479608,54.790882
81,잘 (I'm Fine) (With 슬리피 & 로꼬 & 후디)_GRAY (그레이).mp3,/workspace/data/랩:힙합/잘 (I'm Fine) (With 슬리피 & 로꼬 & 후디)_GRAY (그레이).mp3,1,Rap and Hip-Hop,197.77414965986395,0.33966354,0.09562024,92.28515625,0.15624986937923782,0.006538716677828367,2191.03195181339,1020943.7540253787,2257.303950111478,257060.22134796783,4510.649902458397,3951898.2175403116,0.0929489046174278,0.005548396757922407,7.092901e-07,0.04169039,21.500584377784094,50.58757467969137,7,G,minor,-82.33626,8586.992,95.07541,1964.9169,-9.200776,763.6657,24.42597,601.7032,6.5810447,314.04953,4.9156775,307.37286,-14.496678,243.00075,6.4818873,206.74469,-17.273693,199.0436,12.356845,156.49478,-19.37773,132.68004,3.910541,103.01567,-11.74213,78.89667,-2.7863846,90.600365,-6.6679325,95.42541,1.1955028,89.91278,-6.939766,108.032715,7.9339156,95.59287,-1.5792435,111.50035,3.6175728,117.28926
82,블루 (BLOO)-01-Downtown Baby-Downtown Baby-192.mp3,/workspace/data/랩:힙합/블루 (BLOO)-01-Downtown Baby-Downtown Baby-192.mp3,1,Rap and Hip-Hop,196.53333333333333,0.39488775,0.084272034,89.10290948275862,0.1884910884736724,0.0024095954116044116,1479.0223581840057,442995.6975355354,1941.620312372906,186308.2195592752,3067.3327873244402,2274126.559873571,0.04947730138306356,0.0015631495550695834,-5.2643634e-05,0.07250155,22.245480822607696,54.36934900493034,7,G,Major,-80.09601,6859.9966,127.59929,873.15234,2.202873,434.22632,41.02037,224.66663,5.2887964,243.17781,17.571033,106.75284,-6.2055683,113.16438,15.38453,105.06354,-12.261489,78.37389,13.11673,95.09016,-5.424713,83.84065,10.387912,81.6211,-6.1662736,65.240974,4.9536014,77.30545,-4.24784,64.976555,5.6811247,66.333336,-3.3110752,53.212955,6.897278,60.98092,4.954878,72.496254,2.3077583,52.044876
83,보통연애 (Feat. 박보람)_박경 (블락비).mp3,/workspace/data/랩:힙합/보통연애 (Feat. 박보람)_박경 (블락비).mp3,1,Rap and Hip-Hop,232.90775510204082,0.3816661,0.097035706,143.5546875,0.1748119302513612,0.008406647387467431,1981.6827723112401,936695.8852760319,2249.8293165606888,369960.401620279,4282.553963085528,4450128.523985126,0.07408965799770711,0.0042910192928841935,-8.8914985e-06,0.060900077,21.536515931987026,51.048008558394365,4,E,Major,-83.737526,7776.8223,104.88437,1658.606,8.486961,704.4378,27.40173,449.86792,3.189173,263.58218,5.2570724,255.34361,-10.459201,184.27829,12.595936,151.78464,-11.980486,144.39413,12.55292,142.80244,-11.533725,100.115295,1.0787601,95.9154,-7.9323645,96.004974,4.4670444,97.845215,-6.6149373,96.43296,4.923927,91.4837,-5.720943,83.08323,2.5986276,93.71672,-4.944347,92.243355,2.9995506,70.37975
84,highfiVe_다이나믹 듀오 (Dynamic Duo) & 프라이머리 (Primary) & 보이비 (Boi B) & CRUSH (크러쉬).mp3,/workspace/data/랩:힙합/highfiVe_다이나믹 듀오 (Dynamic Duo) & 프라이머리 (Primary) & 보이비 (Boi B) & CRUSH (크러쉬).mp3,1,Rap and Hip-Hop,241.63374149659865,0.43175787,0.08938536,151.99908088235293,0.19784242289355117,0.004827988012624682,2765.649093549361,727931.2690330768,2624.146833618516,128502.81085370165,5946.211858041763,2074656.393940291,0.10633622689355722,0.004492777518468606,-0.00017128346,0.0743234,19.871992591119543,53.89111570041971,4,E,minor,-17.127234,5753.822,73.88262,1113.5343,-2.4454515,434.43518,29.023361,304.87253,-3.0395339,197.61003,20.254297,129.19106,-14.838234,117.502884,18.966213,99.36954,-12.498888,87.758835,13.5787945,108.84593,-5.372863,94.30512,13.211525,101.44021,-4.610282,74.826935,11.7527685,82.30532,-5.009452,64.63238,10.84191,77.91919,-5.2359633,51.252533,8.764685,54.753807,-4.110558,58.371204,5.6540265,64.78255
85,Me You (Feat. 백예린 of 15&)_산이 (San E).mp3,/workspace/data/랩:힙합/Me You (Feat. 백예린 of 15&)_산이 (San E).mp3,1,Rap and Hip-Hop,209.03183673469388,0.36354446,0.08914767,89.10290948275862,0.1877504818997336,0.00649736741415565,2172.657071178034,644131.420004763,2181.151762496103,223546.53911752626,4367.010369915757,2634727.8741327776,0.10379298480367655,0.0037644801393493833,-5.1556653e-06,0.044276793,21.531051545325326,51.396420319598406,7,G,minor,-34.4421,10408.298,102.16806,1390.0768,-16.912674,578.32153,28.266655,499.48883,-7.6473885,274.52682,4.4664106,362.065,-12.499554,219.12245,4.779297,207.43939,-14.412161,125.35651,11.697653,115.25173,-15.096496,137.86981,11.4239025,75.14131,-8.2572975,91.82246,2.9411964,86.28162,-7.0159554,96.75961,3.7355525,84.32604,-7.503497,80.89433,5.8364286,89.02402,-6.625682,81.76394,1.5565176,80.40037
